KERNEL;PSNR;EXE_TIME;PSNR/EXE_TIME;NOISE_TIME
69;26.97605566760176;0.5941097736358643;45.406;101.26426219940186
70;27.000718233830465;0.6065824031829834;44.513;102.33751487731934
71;27.001206907683354;0.6096372604370117;44.291;103.86861038208008
72;27.016420434796075;0.6220786571502686;43.429;105.29801440238953
73;27.036289562841482;0.6211657524108887;43.525;106.74269008636475
74;27.055177097511354;0.6382086277008057;42.392;108.27582502365112
75;27.0724012035813;0.6437158584594727;42.056;109.85660576820374
76;27.088146432095023;0.6611311435699463;40.972;111.17752957344055
77;27.109286664886945;0.6620311737060547;40.949;112.55290389060974
78;27.128113706831954;0.6766142845153809;40.094;114.53890919685364
79;27.14123945098924;0.6765174865722656;40.119;115.52324557304382
80;27.14865054061695;0.694596529006958;39.085;117.09037113189697
81;27.17144270859505;0.6966891288757324;39.001;118.44714665412903
82;27.194132386735866;0.7096920013427734;38.318;119.92439913749695
83;27.196997042957747;0.709970235824585;38.307;121.59576535224915
84;27.208813838646538;0.7283217906951904;37.358;122.87549567222595
85;27.21743760286799;0.7327861785888672;37.142;124.48192691802979
86;27.23588455847933;0.7475466728210449;36.434;125.820725440979
87;27.254946426595;0.7483489513397217;36.42;127.44488000869751
88;27.2643512369773;0.760716438293457;35.84;128.76410627365112
89;27.27473862728331;0.7618734836578369;35.8;130.21254754066467
90;27.29706462048852;0.7763729095458984;35.16;131.57496643066406
91;27.300078826725084;0.7782948017120361;35.077;133.07821345329285
92;27.312811492150445;0.7975170612335205;34.247;134.61047625541687
93;27.325448319273523;0.7991392612457275;34.194;135.98966360092163
94;27.346731105272166;0.8115208148956299;33.698;137.486643075943
