KERNEL;PSNR;EXE_TIME;PSNR/EXE_TIME;NOISE_TIME
70;29.358216751765013;0.6050150394439697;48.525;102.18299388885498
71;29.37254683172356;0.6063101291656494;48.445;103.67720222473145
72;29.387900386545027;0.6186201572418213;47.506;105.19759225845337
73;29.41318720562531;0.623335599899292;47.187;106.65357685089111
74;29.44107156582138;0.6373956203460693;46.19;108.03423762321472
75;29.453441794288718;0.6411497592926025;45.938;109.4650251865387
76;29.48751872966026;0.6529810428619385;45.158;110.85349798202515
77;29.50403900310125;0.654656171798706;45.068;112.43133401870728
78;29.521147398289088;0.6709556579589844;43.999;113.94079613685608
79;29.54119675804442;0.6730039119720459;43.895;115.32954788208008
80;29.567098045013914;0.6880028247833252;42.975;116.83134269714355
81;29.579009479426944;0.6911826133728027;42.795;118.20233345031738
82;29.597477240332182;0.7048952579498291;41.988;119.69113993644714
83;29.610348553426043;0.7087948322296143;41.776;121.17961025238037
84;29.626540360642444;0.7231652736663818;40.968;122.72842717170715
85;29.650464392772236;0.7258312702178955;40.85;124.1233491897583
86;29.667272239391906;0.7413594722747803;40.017;125.53580808639526
87;29.693338877706502;0.7436859607696533;39.927;127.1431999206543
88;29.698915635852696;0.7567703723907471;39.244;128.448979139328
89;29.715571395654127;0.7605700492858887;39.07;129.8495216369629
90;29.736487710251048;0.7751929759979248;38.36;131.4088580608368
91;29.752777222895915;0.7793095111846924;38.178;132.88367128372192
92;29.765531409141964;0.7932088375091553;37.525;134.26802825927734
93;29.771022647381983;0.7949635982513428;37.45;135.78453612327576
94;29.782897521951103;0.8063182830810547;36.937;137.2902796268463
